pitch,yaw,x,y,z,state
-82.5,104.69,-86,111,-223,0
-87.37,-2.5,3,-530,-221,0
-80.75,-8.88,481,-151,-134,0
-83.06,15.44,-827,178,-46,0
-84.25,1.62,-190,-336,-414,0
-87.69,2,188,188,-148,0
-85.69,175.81,15,-163,-488,0
-83.75,-4,-21,-18,-310,0
-79.87,-6.37,138,-26,-121,0
-80.69,3.56,505,37,-137,0
-85.06,0.62,253,14,-316,0
-86.19,3,45,95,-164,0
-87,-2.94,-689,-422,-328,0
-74.44,-6.19,328,-156,-164,0
-79,5.62,-492,-67,-510,0
-69.25,7.25,265,80,-480,0
-82.19,8.31,-88,120,-259,0
-82.31,51.75,-92,-37,-70,0
-83.62,-3.56,-51,-354,-196,0
-71,-1.31,519,-41,-225,0
-76.62,7,-728,2,-521,0
-76.31,7.31,-215,-281,-378,0
-83.12,20.19,210,249,-96,0
-85.19,4,-213,118,-576,0
-76.75,-25,79,336,-327,0
-73,3.37,216,-21,-142,0
-68.94,6.31,909,-264,-217,0
-76.5,9.38,385,-32,-310,0
-83.87,4.44,-111,55,-96,0
-87.75,-1.81,-641,-392,-260,0
-73.69,-12.06,423,-12,-167,0
-77.62,7.31,-671,-138,-531,0
-70.12,5.87,142,233,-572,0
-83.81,2.37,-107,15,-193,0
-84,5.56,-323,178,-433,0
-80.31,-27.31,-146,226,-389,0
-73.25,3.37,393,166,-16,0
-72.25,10.69,-244,-633,-113,0
-77.06,15.94,430,-118,-275,0
-83.12,49.19,-67,173,-77,0
-89.81,179.81,-419,-255,-327,0
-77.19,-6.81,165,-168,-248,0
-76.06,13,-388,-21,-116,0
-67.37,11.88,544,21,-421,0
-80.81,18.44,62,55,-318,0
-80.81,57.75,34,-76,-194,0
-85.31,-2.87,-867,-826,-442,0
-70.94,0.94,626,-206,-229,0
-79.5,12.63,-1022,-121,323,0
-76.06,10.5,-526,14,-709,0
-84.81,1.87,-23,148,-195,0
-82.81,59.63,-313,-27,-219,0
-79.37,-31.69,-237,158,-399,0
-71.81,-2.06,482,144,-94,0
-75,2.94,-762,96,-1172,0
-75.5,12.94,184,-417,-306,0
-83.31,3.06,283,260,-66,0
-85.81,3.12,-59,100,-365,0
-76.25,-27.06,100,282,-446,0
-73.44,8.75,194,-91,-221,0
-66.94,9.63,900,-77,-521,0
-77,15.25,358,-92,-383,0
-82.62,51.44,-82,-86,-54,0
-85.94,-3.5,-974,-730,-338,0
-71.19,-8.06,419,-204,-235,0
-77.31,3.56,-1035,-181,137,0
-70.62,6.62,-88,72,-593,0
-82.19,3.06,-30,112,-224,0
-82.94,41.63,-189,158,-184,0
-79.06,-32.19,29,71,-136,0
-70.37,-1.37,527,58,-264,0
-74.44,8.06,-874,15,-608,0
-76.31,22,-168,-582,-425,0
-80.87,32.88,302,240,-85,0
-82.62,41.88,178,-174,-195,0
-75.31,-13.5,93,-41,-356,0
-72.25,9.88,0,-9,-188,0
-64.44,7.19,304,322,-468,0
-78.69,17.37,36,-52,-438,0
-80.56,50.38,-61,-41,-130,0
-84,-2.69,-858,-699,-430,0
-68.94,-0.81,484,-577,-281,0
-77.69,3.12,-977,131,218,0
-72.62,6.5,-625,-13,-462,0
